testcase_index,cumulative_time_seconds
1,0.01603491700006998
2,0.016075667001132388
3,0.016079624998383224
4,0.016081666999525623
5,0.016084584000054747
6,0.01608658400073182
7,0.016088084001239622
8,0.016095499999210006
9,0.016097209001600277
10,0.016098833999421913
11,0.01610166699902038
12,0.016104250000353204
13,0.01632558400160633
14,0.0163706249986717
15,0.01642879200153402
16,0.01679087500087917
17,0.019217334000131814
18,0.019236833999457303
19,0.019324917000631103
20,0.019451959000434726
21,0.020566999999573454
22,0.021284458998707123
23,0.040869459000532515
24,0.04245499999888125
25,0.04248975000155042
26,0.0654993749994901
27,0.07044854199921247
28,0.09658295899862424
29,0.1011274170014076
30,0.10143600000083097
31,0.10172295899974415
32,0.9083314169984078
33,0.9215004590005265
34,0.9223011249996489
35,1.6212890419992618
36,1.9063577499982785
37,1.9103314999993017
38,1.9116811249987222
39,30.634294209001382
40,32.64560208400144
41,32.650469374999375
42,169.1816902089995
43,169.18842354200024
44,185.5116174169998
