testcase_index,cumulative_time_seconds
1,0.024911249998694984
2,0.024975042000733083
3,0.024978917001135414
4,0.024980917001812486
5,0.024982750001072418
6,0.02498479199857684
7,0.02498633399954997
8,0.024988166998809902
9,0.024989792000269517
10,0.024991541999042965
11,0.024993250000989065
12,0.024994833998789545
13,0.024996374999318505
14,0.02499812500172993
15,0.024999708999530412
16,0.0250012920005247
17,0.025002875001518987
18,0.025004792001709575
19,0.0250062919985794
20,0.025007749998621875
21,0.025041249999048887
22,0.025142834001599113
23,0.02527916699909838
24,0.02533012500134646
25,0.02540345899979002
26,0.025619459000154166
27,0.02585220900073182
28,0.025972458999603987
29,0.02618991700001061
30,0.026424958999996306
31,0.027255542001512367
32,0.027954542001680238
33,0.028645624999626307
34,0.029373375000432134
35,0.030134542001178488
36,0.032707541999116074
37,0.03490454200073145
38,0.037236249998386484
39,0.0394102499994915
40,0.041506583998852875
41,0.0499121249995369
42,0.05861712499972782
43,0.06753041699994355
44,0.07664149999982328
45,0.08535370900062844
46,0.11410045899901888
47,0.14243633400110411
48,0.17033229200023925
49,0.19850920899989433
50,0.22885125000175321
51,0.3213062089998857
52,0.4175700000014331
53,0.509070125001017
54,0.6052312499996333
55,0.7041630419989815
