testcase_index,cumulative_time_seconds
1,0.016971041000033438
2,0.017006707999826176
3,0.017010374999699707
4,0.017013582999879873
5,0.01701545800005988
6,0.017017415999816876
7,0.01701908299992283
8,0.01702220800007126
9,0.017030416000125115
10,0.01704295799981992
11,0.017049332999704347
12,0.017056916000001365
13,0.01725895799972932
14,0.017297750000125234
15,0.017350041000099736
16,0.017714832999899954
17,0.020006040999760444
18,0.020011166000131198
19,0.020116624999900523
20,0.020227333000093495
21,0.021344499999941036
22,0.02206345800004783
23,0.041901374999724794
24,0.04335137499992925
25,0.04339441599995553
26,0.06621395799993479
27,0.0711594999997942
28,0.09728841600008309
29,0.1019563750000998
30,0.10227529099984167
31,0.10255987499976982
32,0.913330416000008
33,0.9257742909999251
34,0.9265709579999566
35,1.629475665999962
36,1.9168105409999043
37,1.9207874579997224
